"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"Department of Health and Human Services","Agency Overall","2024","42 U.S.C. § 1396r–8(b)(3)(D)","N/A","Information disclosed by manufacturers or wholesalers which discloses the identity of a specific manufacturer or wholesaler, or prices charged for drugs by such manufacturer or wholesaler","4"
"Department of Health and Human Services","Agency Overall","2024","25 U.S.C. § 1675(g)","N.Y. Times Co. v. HHS, 15 F.4th 216, 219 & n.7 (2d Cir. 2021) (per curiam).","Medical quality assurance records","7"
"Department of Health and Human Services","Agency Overall","2024","28 U.S.C. § 652(d)","Yelder v. DOD, 577 F. Supp. 2d 342, 347-48 (D.D.C. 2008).","""[C]onfidential dispute resolution communications""","1"
"Department of Health and Human Services","Agency Overall","2024","35 U.S.C. § 209(f)","N/A","Plans for development or marketing of a federally owned invention","2"
"Department of Health and Human Services","Agency Overall","2024","15 U.S.C. § 3710a(c)","Pub. Citizen Health Rsch. Grp. v. NIH, 209 F. Supp. 2d 37, 43, 51 (D.D.C. 2002); DeLorme Pub. Co., Inc. v. NOAA, 917 F. Supp. 867, 871-72 (D. Me. 1996), appeal dismissed per stipulation, No. 96-1601 (1st Cir. July 8, 1996).","""[T]rade secrets or commercial or financial information that is privileged or confidential, under the meaning of section 552(b)(4) of Title 5, which is obtained in the conduct of research or as a result of activities under this chapter,"" which pertains to cooperative research and development agreements for the purpose of technological and industrial innovation","1"
"Department of Health and Human Services","Agency Overall","2024","7 U.S.C. § 8401(h)(1)(c)","N/A","Registration and transfer documentation for listed biological agents and toxins, and information derived therefrom","3"
"Department of Health and Human Services","Agency Overall","2024","42 U.S.C. § 247d–7e(e)(1)(A)","N/A","Certain information that could compromise national security and reveal significant and not otherwise publicly known vulnerabilities of existing medical or public health defenses against chemical, biological, radiological, or nuclear threats","1"
"Department of Health and Human Services","Agency Overall","2024","5 U.S.C. § 407 (formerly at 5 U.S.C. app. 3 § 7(b))","Wash. Post Co. v. Special Inspector Gen. for Afg. Reconstr., 486 F. Supp. 3d 141, 166 (D.D.C. 2020).","Names of employees who provide information or complaints to the Inspector General","88"
"Department of Health and Human Services","Agency Overall","2024","42 US.C. § 247d-6b(d)","N/A"," Information identifying the location at which materials in the stockpile under subsection (a) of this section are stored","3"
"Department of Health and Human Services","Agency Overall","2024","42 U.S.C. § 300jj-52(d)(2)","N/A","Information received by the National Coordinator in connection with a claim or suggestion of possible information blocking and that could reasonably be expected to facilitate identification of the source of the information","5"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","N/A","N/A","N/A","0"
"Surface Transportation Board","Agency Overall","2024","N/A","N/A","N/A","0"
"Department of Energy","Agency Overall","2024","15 U.S.C. § 638(k)(4)","        ","Information contained within a Small Business Innovative Research (SBIR) and Small Business Technology Transfer (STTR) program evaluation databases","6"
"Department of Energy","Agency Overall","2024","42 U.S.C. § 2162","Meeropol v. Smith, No. 75-1221, slip op. at 53-55 (D.D.C Feb. 29, 1984), Aff'd in relevant part & remanded in part on other grounds sub nom, Meeropol v. Meese, 790 F/ 2d 942 (D.C. Cir. 1986","Atomic Energy Act of 1954 - Agency Withheld information that is Restricted Data, Fomerly Restricted Data or Unclassified Nuclear Information (UCNI).","11"
"Department of Energy","Agency Overall","2024","16 U.S.C. § 824o-1(d)","        ","Information pertaining to Critical Electric Infrastructure Security","2"
