Agency,Component,Fiscal Year,Number of Backlogged Requests as of End of Fiscal Year,Number of Backlogged Appeals as of End of Fiscal Year
Department of Health and Human Services,Agency Overall,2021,9955,646.0
Department of Housing and Urban Development,Agency Overall,2021,808,3.0
Federal Mine Safety and Health Review Commission,Agency Overall,2021,2,0.0
U.S. Interagency Council on Homelessness,Agency Overall,2021,0,0.0
United States International Boundary and Water Commission,Agency Overall,2021,39,0.0
Gulf Coast Ecosystem Restoration Council,Agency Overall,2021,0,0.0
U.S. Commission on Civil Rights,Agency Overall,2021,0,0.0
Committee for Purchase from People Who Are Blind or Severely Disabled,Agency Overall,2021,30,0.0
Institute of Museum and Library Services,Agency Overall,2021,1,0.0
Federal Retirement Thrift Investment Board,Agency Overall,2021,2,0.0
Equal Employment Opportunity Commission,Agency Overall,2021,111,67.0
U.S. Commission for the Preservation of America’s Heritage Abroad,Agency Overall,2021,2,0.0
Millennium Challenge Corporation,Agency Overall,2021,1,0.0
James Madison Memorial Fellowship Foundation,Agency Overall,2021,0,0.0
Office of the Special Inspector General for Afghanistan Reconstruction,Agency Overall,2021,4,0.0
Department of Justice,Agency Overall,2021,49959,378.0
Office of the Director of National Intelligence,Agency Overall,2021,493,10.0
Selective Service System,Agency Overall,2021,0,0.0
Federal Open Market Committee,Agency Overall,2021,0,0.0
General Services Administration,Agency Overall,2021,392,12.0
National Endowment for the Arts,Agency Overall,2021,0,0.0
Federal Labor Relations Authority,Agency Overall,2021,0,0.0
U.S. Department of State,Agency Overall,2021,14941,358.0
National Aeronautics and Space Administration,Agency Overall,2021,28,8.0
Denali Commission,Agency Overall,2021,0,0.0
U.S. Election Assistance Commission,Agency Overall,2021,3,0.0
U.S. Railroad Retirement Board,Agency Overall,2021,1,0.0
Social Security Administration,Agency Overall,2021,88,22.0
Central Intelligence Agency,Agency Overall,2021,2652,418.0
United States Postal Service,Agency Overall,2021,148,0.0
National Labor Relations Board,Agency Overall,2021,7,0.0
Privacy and Civil Liberties Oversight Board,Agency Overall,2021,12,0.0
U.S. International Development Finance Corporation,Agency Overall,2021,73,0.0
Farm Credit Administration,Agency Overall,2021,0,0.0
Department of Veterans Affairs,Agency Overall,2021,2166,118.0
Farm Credit System Insurance Corporation,Agency Overall,2021,0,0.0
United States International Trade Commission,Agency Overall,2021,1,0.0
