Agency,Component,Fiscal Year,"Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
Committee for Purchase from People Who Are Blind or Severely Disabled,Agency Overall,2020,0,0.25,0.25
United States Trade and Development Agency,Agency Overall,2020,0,0.1,0.1
U.S. International Development Finance Corporation,Agency Overall,2020,1,0.75,1.75
United States Postal Service,Agency Overall,2020,20,26.0,46.0
Small Business Administration,Agency Overall,2020,3,0.0,3.0
Appraisal Subcommittee,Agency Overall,2020,0,0.05,0.05
Surface Transportation Board,Agency Overall,2020,0,0.25,0.25
Social Security Administration,Agency Overall,2020,5,37.0,42.0
Marine Mammal Commission,Agency Overall,2020,0,0.03,0.03
Gulf Coast Ecosystem Restoration Council,Agency Overall,2020,2,0.0,2.0
National Mediation Board,Agency Overall,2020,0,1.0,1.0
National Transportation Safety Board,Agency Overall,2020,10,11.25,21.25
Office of Government Ethics,Agency Overall,2020,0,2.4,2.4
Office of Management and Budget,Agency Overall,2020,4,5.0,9.0
Farm Credit Administration,Agency Overall,2020,0,2.0,2.0
National Science Foundation,Agency Overall,2020,1,1.55,2.55
Merit Systems Protection Board,Agency Overall,2020,1,0.93,1.93
United States Institute of Peace,Agency Overall,2020,0,0.5,0.5
Social Security Advisory Board,Agency Overall,2020,0,0.05,0.05
Council on Environmental Quality,Agency Overall,2020,0,3.0,3.0
Administrative Conference of the United States,Agency Overall,2020,0,0.1,0.1
Office of Science and Technology Policy,Agency Overall,2020,1,0.65,1.65
U.S. Election Assistance Commission,Agency Overall,2020,0,1.0,1.0
Millennium Challenge Corporation,Agency Overall,2020,1,4.0,5.0
American Battle Monuments Commission,Agency Overall,2020,0,0.01,0.01
Federal Election Commission,Agency Overall,2020,1,2.84,3.84
Department of Health and Human Services,Agency Overall,2020,280,94.75,374.75
Central Intelligence Agency,Agency Overall,2020,31,30.0,61.0
Selective Service System,Agency Overall,2020,0,0.15,0.15
Defense Nuclear Facilities Safety Board,Agency Overall,2020,0,0.5,0.5
U.S. Interagency Council on Homelessness,Agency Overall,2020,0,0.05,0.05
Federal Trade Commission,Agency Overall,2020,7,2.7,9.7
United States African Development Foundation,Agency Overall,2020,0,0.3,0.3
U.S. Nuclear Waste Technical Review Board,Agency Overall,2020,1,0.0,1.0
Department of Energy,Agency Overall,2020,46,20.2,66.2
Department of Housing and Urban Development,Agency Overall,2020,199,19.75,218.75
U.S. Agency for International Development,Agency Overall,2020,16,8.25,24.25
Department of Veterans Affairs,Agency Overall,2020,55,235.14,290.14
U.S. Department of State,Agency Overall,2020,110,95.97,205.97
Court Services and Offender Supervision Agency,Agency Overall,2020,2,0.0,2.0
Institute of Museum and Library Services,Agency Overall,2020,0,0.25,0.25
National Endowment for the Arts,Agency Overall,2020,0,1.5,1.5
Equal Employment Opportunity Commission,Agency Overall,2020,33,12.53,45.53
Export-Import Bank of the U.S.,Agency Overall,2020,3,0.7,3.7
Office of Personnel Management,Agency Overall,2020,6,7.82,13.82
Department of Labor,Agency Overall,2020,52,120.15,172.15
Federal Mediation and Conciliation Service,Agency Overall,2020,0,2.0,2.0
Federal Deposit Insurance Corporation,Agency Overall,2020,7,2.0,9.0
National Aeronautics and Space Administration,Agency Overall,2020,5,4.33,9.33
